1,1,1,1,1
1,1,1,1,2
1,1,1,1,3
1,1,1,4,4
1,1,1,4,5
1,1,1,4,6
1,1,1,7,7
1,1,1,7,8
1,1,1,7,9
1,1,10,10,10
1,1,10,10,11
1,1,10,10,12
1,1,10,13,13
1,1,10,13,14
1,1,10,13,15
1,1,10,16,16
1,1,10,16,17
1,1,10,16,18
1,1,19,19,19
1,1,19,19,20
1,1,19,19,21
1,1,19,22,22
1,1,19,22,23
1,1,19,22,24
1,1,19,25,25
1,1,19,25,26
1,1,19,25,27
1,28,28,28,28
1,28,28,28,29
1,28,28,28,30
1,28,28,31,31
1,28,28,31,32
1,28,28,31,33
1,28,28,34,34
1,28,28,34,35
1,28,28,34,36
1,28,37,37,37
1,28,37,37,38
1,28,37,37,39
1,28,37,40,40
1,28,37,40,41
1,28,37,40,42
1,28,37,43,43
1,28,37,43,44
1,28,37,43,45
1,28,46,46,46
1,28,46,46,47
1,28,46,46,48
1,28,46,49,49
1,28,46,49,50
1,28,46,49,51
1,28,46,52,52
1,28,46,52,53
1,28,46,52,54
1,55,55,55,55
1,55,55,55,56
1,55,55,55,57
1,55,55,58,58
1,55,55,58,59
1,55,55,58,60
1,55,55,61,61
1,55,55,61,62
1,55,55,61,63
1,55,64,64,64
1,55,64,64,65
1,55,64,64,66
1,55,64,67,67
1,55,64,67,68
1,55,64,67,69
1,55,64,70,70
1,55,64,70,71
1,55,64,70,72
1,55,73,73,73
1,55,73,73,74
1,55,73,73,75
1,55,73,76,76
1,55,73,76,77
1,55,73,76,78
1,55,73,79,79
1,55,73,79,80
1,55,73,79,81