YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DIV_REACHED_DEST
2016,1,10,1/10/16,NK,20416,1013,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",5,5,0,0,0,35,35,0,0,0,30,30,30,404,
2016,1,10,1/10/16,UA,19977,685,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",5,5,0,0,0,35,35,0,0,0,30,30,30,606,
2016,1,10,1/10/16,F9,20436,1462,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",5,5,0,0,0,35,35,0,0,0,30,30,30,762,
2016,1,10,1/10/16,F9,20436,429,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",5,5,0,0,0,35,35,0,0,0,30,30,30,1199,
2016,1,10,1/10/16,NK,20416,460,10397,ATL,"Atlanta, GA",13930,ORD,"Chicago, IL",35,35,0,0,0,105,105,0,0,0,30,30,30,606,
2016,1,10,1/10/16,AA,19805,1127,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",35,35,0,0,0,105,105,0,0,0,30,30,30,594,
2016,1,10,1/10/16,AA,19805,1905,10397,ATL,"Atlanta, GA",11057,CLT,"Charlotte, NC",35,35,0,0,0,105,105,0,0,0,30,30,30,226,
2016,1,10,1/10/16,AS,19930,749,10397,ATL,"Atlanta, GA",14747,SEA,"Seattle, WA",105,105,0,0,0,135,135,0,0,0,30,30,30,2182,
2016,1,10,1/10/16,NK,20416,557,10397,ATL,"Atlanta, GA",14635,RSW,"Fort Myers, FL",135,135,0,0,0,205,205,0,0,0,30,30,30,515,
2016,1,10,1/10/16,EV,20366,4951,10397,ATL,"Atlanta, GA",10868,CAE,"Columbia, SC",135,135,0,0,0,205,205,0,0,0,30,30,30,192,
2016,1,10,1/10/16,EV,20366,4877,10397,ATL,"Atlanta, GA",10980,CHA,"Chattanooga, TN",205,205,0,0,0,235,235,0,0,0,30,30,30,106,
2016,1,10,1/10/16,EV,20366,4882,10397,ATL,"Atlanta, GA",14783,SGF,"Springfield, MO",205,205,0,0,0,235,235,0,0,0,30,30,30,563,