Time,0110Dept,0110Arr,0110Tot,0504Dept,0504Arr,0504Tot
1,6,1,7,0,1,1
2,4,0,4,0,0,0
3,1,1,2,0,0,0
4,4,0,4,0,0,0
5,4,0,4,0,0,0
6,1,0,1,0,1,1
7,1,0,1,0,0,0
8,1,0,1,0,0,0
9,1,0,1,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,2,4,6
13,0,1,1,1,9,10
14,0,0,0,10,11,21
15,2,1,3,14,20,34
16,1,1,2,13,26,39
17,1,3,4,37,38,75
18,4,6,10,39,47,86
19,3,2,5,32,37,69
20,2,4,6,42,40,82
21,4,3,7,47,20,67
22,2,4,6,35,23,58
23,2,1,3,27,32,59
24,2,1,3,21,25,46
25,4,3,7,44,20,64
26,0,5,5,23,42,65
27,1,1,2,20,25,45
28,1,2,3,51,39,90
29,0,0,0,28,43,71
30,2,4,6,33,25,58
31,3,1,4,46,43,89
32,5,2,7,25,41,66
33,3,3,6,43,27,70
34,2,5,7,40,35,75
35,3,0,3,26,33,59
36,1,1,2,37,26,63
37,2,0,2,25,43,68
38,2,7,9,23,27,50
39,2,3,5,43,33,76
40,1,2,3,31,43,74
41,0,1,1,28,44,72
42,0,3,3,50,32,82
43,1,2,3,21,36,57
44,3,2,5,48,20,68
45,7,2,9,23,11,34
46,0,3,3,10,8,18
47,5,0,5,5,5,10
48,1,0,1,2,8,10